Sample_Index,Mic_Left,Mic_Right
0,30,30
1,50,50
2,66,66
3,128,128
4,143,143
5,187,187
6,213,213
7,197,197
8,228,228
9,257,257
10,258,258
11,248,248
12,242,242
13,214,214
14,183,183
15,184,184
16,168,168
17,86,86
18,63,63
19,31,31
20,4,4
21,-45,-45
22,-106,-106
23,-98,-98
24,-152,-152
25,-153,-153
26,-221,-221
27,-234,-234
28,-193,-193
29,-247,-247
30,-237,-237
31,-233,-233
32,-214,-214
33,-250,-250
34,-186,-186
35,-181,-181
36,-166,-166
37,-108,-108
38,-113,-113
39,-42,-42
40,27,27
41,52,52
42,63,63
43,122,122
44,161,161
45,160,160
46,201,201
47,240,240
48,248,248
49,239,239
50,268,268
51,221,221
52,238,238
53,202,202
54,198,198
55,184,184
56,113,113
57,121,121
58,58,58
59,51,51
60,8,8
61,-51,-51
62,-58,-58
63,-96,-96
64,-150,-150
65,-168,-168
66,-227,-227
67,-205,-205
68,-214,-214
69,-248,-248
70,-233,-233
71,-276,-276
72,-231,-231
73,-187,-187
74,-216,-216
75,-193,-193
76,-149,-149
77,-107,-107
78,-80,-80
79,-56,-56
80,10,10
81,61,61
82,46,46
83,130,130
84,169,169
85,205,205
86,201,201
87,227,227
88,241,241
89,249,249
90,256,256
91,221,221
92,249,249
93,223,223
94,181,181
95,179,179
96,151,151
97,101,101
98,110,110
99,55,55
100,-15,-15
101,-18,-18
102,-96,-96
103,-124,-124
104,-129,-129
105,-160,-160
106,-211,-211
107,-181,-181
108,-218,-218
109,-253,-253
110,-244,-244
111,-251,-251
112,-267,-267
113,-228,-228
114,-203,-203
115,-194,-194
116,-162,-162
117,-124,-124
118,-63,-63
119,-52,-52
120,11,11
121,25,25
122,96,96
123,97,97
124,175,175
125,169,169
126,214,214
127,215,215
128,249,249
129,250,250
130,245,245
131,256,256
132,226,226
133,228,228
134,212,212
135,202,202
136,148,148
137,103,103
138,97,97
139,42,42
140,-13,-13
141,-55,-55
142,-79,-79
143,-112,-112
144,-134,-134
145,-189,-189
146,-240,-240
147,-200,-200
148,-209,-209
149,-288,-288
150,-238,-238
151,-231,-231
152,-225,-225
153,-228,-228
154,-205,-205
155,-154,-154
156,-134,-134
157,-98,-98
158,-84,-84
159,-34,-34
160,-1,-1
161,20,20
162,49,49
163,142,142
164,157,157
165,147,147
166,197,197
167,223,223
168,259,259
169,215,215
170,244,244
171,255,255
172,235,235
173,224,224
174,221,221
175,202,202
176,141,141
177,125,125
178,97,97
179,35,35
180,21,21
181,-64,-64
182,-74,-74
183,-131,-131
184,-155,-155
185,-192,-192
186,-206,-206
187,-263,-263
188,-209,-209
189,-254,-254
190,-234,-234
191,-258,-258
192,-231,-231
